municipio,uf_original,uf_corrigida,cod_municipio_ibge
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
Petrolina,BA,PE,2611101
